pta_id,agreement_name,year,total_words,n_articles,n_chapters,hard_p1k_mean,soft_p1k_mean,enf_p1k_mean,oblig_ratio,total_words_norm,n_articles_norm,hard_p1k_mean_norm,enf_p1k_mean_norm,CCI_pilot
58,EFTA - Singapore,2002,12763.0,75.0,12.0,18.726004857792056,7.756796991302985,17.237326647339966,2.1352747711950095,0.08322208003320306,0.14595660749506903,0.5817014274973702,0.5589924469841236,0.34246814050244145
59,Canada - Costa Rica,2001,28401.0,116.0,16.0,13.90796098728918,8.450406675821274,13.872750959473258,1.427410355333668,0.19139487427800642,0.22682445759368836,0.43203453279664256,0.449882001072017,0.3250339664350886
60,EU - Croatia,2001,17553.0,130.0,18.0,17.660798723864865,6.095824075656583,2.335783057027289,2.231178589288314,0.11635596444505932,0.25443786982248523,0.5486120454647383,0.07574753982359742,0.24878835488897005
61,EU - Jordan,1997,12489.0,102.0,16.0,20.017615501641444,6.886059732564657,2.08183201217071,1.8715455314962883,0.08132673883720125,0.1992110453648915,0.6218238006892873,0.06751211452344158,0.2424684248537054
62,Japan - Singapore,2002,22355.0,155.0,24.0,19.950794005815254,7.82822634757325,14.135540147617982,2.153881071586283,0.1495728565005361,0.3037475345167653,0.6197480691168142,0.4584040401519377,0.38286812507151335
63,US - Jordan,2000,8508.0,21.0,3.0,18.923366243535497,7.992477668077104,9.402914903620122,2.7325850180222533,0.05378895306609484,0.03944773175542406,0.5878322279906771,0.304928862711389,0.24649944388089629
64,India - Sri Lanka,1998,1978.0,19.0,3.0,23.25581395348837,11.122345803842265,7.583417593528817,1.9181580721267273,0.008618960329263653,0.03550295857988166,0.722414646214745,0.2459240486553809,0.25311515344481783
65,EU - Mexico,1997,7776.0,48.0,13.0,17.232510288065843,10.2880658436214,14.146090534979423,1.4998686434450323,0.048725486805243315,0.09270216962524656,0.5353077663952368,0.45874618061074907,0.28387040085911897
66,EFTA - Jordan,2001,5646.0,43.0,3.0,19.83705278072972,11.512575274530642,7.438894792773645,1.427821290175169,0.0339916300626016,0.08284023668639054,0.6162148310609658,0.2412372920781016,0.24357099747201488
67,EFTA - Croatia,2001,5233.0,42.0,3.0,22.358111981654883,9.745843684311103,9.745843684311103,1.5971447225937958,0.031134783661328814,0.08086785009861934,0.6945285849620453,0.3160497634277026,0.280645245537424
