pta_id,agreement_name,year,total_words,n_articles,n_chapters,hard_p1k_mean,soft_p1k_mean,mixed_p1k_mean,enf_p1k_mean,oblig_ratio,hard_total,soft_total,oblig_ratio_core,n_tig_articles,template_flag,template_exporter,is_template,is_us_tpa,is_eu_template,is_plurilateral,n_g20_parties,asymmetry_type,alschner_cluster,d_us_tpa,d_eu_template,d_other_template,d_plurilateral,d_symmetric,d_eastern_european,d_central_asian,d_modern_global
58,EFTA - Singapore,2002,12763.0,75.0,12.0,17.78578704066442,1.0185693018882709,0.3134059390425449,16.37546031497297,3.9972315808717913,227.0,17.0,6.785778175313059,15.0,none,,False,False,False,True,0,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
59,Canada - Costa Rica,2001,28401.0,116.0,14.0,12.358719763388613,0.6689905285025175,0.4225203337910637,13.485440653498117,5.042316585096769,351.0,31.0,3.733188967403693,16.0,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
60,EU - Croatia,2001,17553.0,130.0,16.0,16.521392354583263,0.8545547769612032,0.9115250954252835,1.6521392354583262,3.4808484779429913,290.0,31.0,6.920265780730897,8.0,none,,False,False,False,False,0,bilateral_symmetric,modern_global,0,0,0,0,1,0,0,1
61,EU - Jordan,1997,12489.0,102.0,13.0,18.97669949555609,1.1209864680919208,0.8007046200656578,1.9216910881575786,6.202398110337096,237.0,24.0,22.09895052473763,7.0,none,,False,False,False,True,4,plurilateral_symmetric,eastern_european,0,0,0,1,0,1,0,0
62,Japan - Singapore,2002,22355.0,155.0,22.0,18.608812346231268,0.8499217177365243,0.5367926638335943,14.627600089465444,5.162521434429285,416.0,31.0,6.3253774963468095,11.0,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,modern_global,0,0,1,0,0,0,0,1
63,US - Jordan,2000,8508.0,21.0,3.0,17.160319699106722,0.9402914903620122,1.52797367183827,8.46262341325811,13.858561689838135,146.0,21.0,,,us_pre_tpa,USA,True,False,False,False,1,bilateral_asymmetric,modern_global,0,0,1,0,0,0,0,1
64,India - Sri Lanka,1998,1978.0,19.0,3.0,22.24469160768453,1.011122345803842,0.0,7.077856420626896,2.9964610717896867,44.0,2.0,,,none,,False,False,False,False,1,bilateral_asymmetric,modern_global,0,0,0,0,0,0,0,1
65,EU - Mexico,1997,7776.0,48.0,12.0,16.075102880658438,1.6718106995884774,0.9002057613168725,14.274691358024691,2.292674039780521,125.0,20.0,,,none,,False,False,False,True,5,plurilateral_symmetric,eastern_european,0,0,0,1,0,1,0,0
66,EFTA - Jordan,2001,5646.0,43.0,3.0,18.951470067304285,0.8855827134254339,0.5313496280552603,6.376195536663125,3.0503896563939072,107.0,8.0,,,none,,False,False,False,True,0,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
67,EFTA - Croatia,2001,5233.0,42.0,3.0,21.21154213644181,0.38218994840435694,0.7643798968087139,8.981463787502388,3.6272374036562844,111.0,6.0,,,none,,False,False,False,False,0,bilateral_symmetric,modern_global,0,0,0,0,1,0,0,1
68,EU - Former Yugoslav Republic of Macedonia,2001,6319.0,51.0,7.0,20.88938123120747,0.6330115524608325,0.3165057762304162,2.5320462098433296,4.2949833834467475,132.0,6.0,8.539765319426337,8.0,none,,False,False,False,True,4,plurilateral_symmetric,modern_global,0,0,0,1,0,0,0,1
