pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id
77,Georgia - Turkmenistan,"['GEO', 'TKM']",2,1996,1996-03-20,2000-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,No,en,86.0
78,Georgia - Ukraine,"['GEO', 'UKR']",2,1995,1995-01-09,1996-06-04,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,87.0
79,EFTA - Former Yugoslav Republic of Macedonia,"['CHE', 'ISL', 'LIE', 'MKD', 'NOR']",5,2000,2000-06-19,2002-05-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe,No,Yes,en,88.0
80,Turkey - Former Yugoslav Republic of Macedonia,"['MKD', 'TUR']",2,1999,1999-09-07,2000-09-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Europe,No,Yes,en,89.0
81,Kyrgyz Republic - Armenia,"['ARM', 'KGZ']",2,1994,1994-07-04,1995-10-27,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral,Commonwealth of Independent States (CIS),No,Yes,en,90.0
82,EU - South Africa,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE', 'ZAF']",29,1999,1999-10-11,2000-01-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Africa,Yes,Yes,en,91.0
83,EU - Morocco,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ITA', 'LTU', 'LUX', 'LVA', 'MAR', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1996,1996-02-26,2000-03-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Africa,Yes,Yes,en,92.0
84,EU - Israel,"['AUT', 'BEL', 'BGR', 'CYP', 'CZE', 'DEU', 'DNK', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GRC', 'HRV', 'HUN', 'IRL', 'ISR', 'ITA', 'LTU', 'LUX', 'LVA', 'MLT', 'NLD', 'POL', 'PRT', 'ROU', 'SVK', 'SVN', 'SWE']",29,1995,1995-11-20,2000-06-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Middle East,Yes,Yes,en,93.0
85,East African Community (EAC),"['BDI', 'KEN', 'RWA', 'TZA', 'UGA']",5,1999,1999-11-30,2000-07-07,In Force,Customs Union & Economic Integration Agreement,Enabling Clause & GATS Art. V,Plurilateral,Africa,No,Yes,en,94.0
86,Economic and Monetary Community of Central Africa (CEMAC),"['CAF', 'CMR', 'COG', 'GAB', 'GNQ', 'TCD']",6,1994,1994-03-16,1999-06-24,In Force,Customs Union,Enabling Clause,Plurilateral,Africa,No,No,fr,95.0
87,EFTA - Morocco,"['CHE', 'ISL', 'LIE', 'MAR', 'NOR']",5,1997,1997-06-19,1999-12-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Europe; Africa,Yes,Yes,en,96.0
88,West African Economic and Monetary Union (WAEMU),"['BEN', 'BFA', 'CIV', 'MLI', 'NER', 'SEN', 'TGO']",7,1994,1994-01-10,2000-01-01,In Force,Customs Union,Enabling Clause,Plurilateral,Africa,No,Yes,fr,97.0
89,Melanesian Spearhead Group (MSG),"['FJI', 'PNG', 'SLB', 'VUT']",4,1993,1993-07-22,1994-01-01,In Force,Partial Scope Agreement,Enabling Clause,Plurilateral,Oceania,No,Yes,en,98.0
90,Commonwealth of Independent States (CIS),"['AZE', 'GEO', 'TKM', 'UZB']",4,1994,1994-04-15,1994-12-30,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Commonwealth of Independent States (CIS),No,No,en,99.0
